MDP,Total Shares,6497909.022,Market Cap,4.46E+07,Percent,14.5806739,Ask,46,Cap,2.05E+09,SYM,MDP,VTI,0,VB,175043.4783,VXF,32434.78261,IJH,692282.6087,IWM,514760.8696,VYM,66260.86957,VBR,207130.4348,MDY,379021.7391,DVY,3910000,IWN,255130.4348,IWV,0,ITOT,0,IJJ,206804.3478,VCR,23478.26087,FDL,21782.6087,IVOO,13778.58696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIC,Total Shares,7404722.222,Market Cap,5.11E+07,Percent,14.49642896,Ask,10.8,Cap,5.52E+08,SYM,RIC,GDXJ,7404722.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRG,Total Shares,1.20E+07,Market Cap,8.34E+07,Percent,14.44197044,Ask,24.35,Cap,2.03E+09,SYM,KRG,VTI,257084.1889,VB,440903.4908,VNQ,3546283.368,VXF,91909.65092,IWM,1404640.657,IJR,2995318.275,VBK,345954.8255,IWN,696180.6982,IWV,0,ITOT,21108.82957,IYR,393264.8871,IJS,1133552.361,VFH,0,RWR,472895.2772,RWO,209609.8563,IYF,31211.49897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNN,Total Shares,2.08E+07,Market Cap,1.47E+08,Percent,14.11342285,Ask,44.21,Cap,6.50E+09,SYM,NNN,VTI,424790.7713,VB,728522.9586,VNQ,5929427.731,VXF,143429.0884,IWD,480705.7227,IJH,3208663.198,VBR,790228.4551,MDY,1756729.247,IWB,101244.0624,SDY,4326351.504,IWR,343361.2305,IWS,393123.7277,IWV,40714.77041,IJK,583578.3759,ITOT,34878.98665,IJJ,491834.4266,PRF,9251.300611,IYR,685908.1656,VFH,0,DON,163876.9509,IYF,61886.45103,IVOO,51831.82538,,,,,,,,,,,,,,,,,,,,,,
PPP,Total Shares,2.57E+07,Market Cap,1.88E+08,Percent,13.68234864,Ask,1.31,Cap,2.46E+08,SYM,PPP,GDXJ,2.57E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVA,Total Shares,8070136.863,Market Cap,5.92E+07,Percent,13.6244697,Ask,44.57,Cap,2.64E+09,SYM,AVA,VTI,140453.2197,VB,240879.5154,VXF,50213.14786,IWM,885461.0725,VYM,68386.80727,VBR,267220.1032,IJR,1909176.576,DVY,2807269.464,IWN,453488.8939,IWV,13461.96993,ITOT,11532.42091,PRF,9176.576172,IJS,719721.786,VPU,163248.8221,FVD,300471.1689,FDL,29975.31972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRL.AX,Total Shares,6.79E+07,Market Cap,5.00E+08,Percent,13.58869822,Ask,3.38,Cap,1.69E+09,SYM,RRL.AX,GDX,2.33E+07,GDXJ,4.46E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG,Total Shares,1.34E+07,Market Cap,9.92E+07,Percent,13.55193105,Ask,69.94,Cap,6.94E+09,SYM,REG,VTI,268515.8707,VB,518072.6337,VNQ,4056734.344,VXF,106662.8539,IWD,260451.8158,IWF,41735.77352,IJH,2235201.601,MDY,1201100.944,VBK,401486.9888,IWB,63997.71232,USMV,497612.2391,IWR,235130.1115,IWS,225907.9211,IWP,43894.76694,IWV,25736.34544,IJK,841063.7689,ITOT,22047.46926,PRF,11695.73921,IYR,479210.7521,ICF,887189.0192,VFH,0,RWR,578595.9394,RWO,255418.9305,DON,71032.31341,MTUM,38390.04861,IYF,43465.82785,IVOO,36946.16814,,,,,,,,,,,,
FRT,Total Shares,9662142.908,Market Cap,7.15E+07,Percent,13.522231,Ask,141.77,Cap,1.01E+10,SYM,FRT,VTI,176624.1095,VOO,213938.0687,SPY,667948.0849,IVV,278690.8373,VO,356859.7023,VNQ,2893221.415,VUG,179445.5809,IWF,205896.8752,IWB,52620.44156,SDY,879875.8553,IVW,67792.904,VV,27368.27255,USMV,545531.4947,IWR,160612.2593,IVE,29202.22896,RSP,137264.5835,VOT,170684.9122,SPLV,456260.1397,IWP,173238.3438,IWV,16928.82838,ITOT,14502.36298,PRF,5769.909008,IYR,320843.6199,ICF,605029.2728,VFH,0,RWR,387550.2575,XLRE,346702.4053,FVD,90964.23785,RWO,171827.6081,IYF,28948.29654,,,,,,
MPW,Total Shares,2.81E+07,Market Cap,2.09E+08,Percent,13.45920688,Ask,14.25,Cap,2.98E+09,SYM,MPW,VTI,439298.2456,VB,1130105.263,VNQ,9089684.211,VXF,209403.5088,IJH,4672631.579,IWM,3692631.579,MDY,2558245.614,VBK,886736.8421,IWN,1189614.035,IWV,42105.26316,IWO,540982.4561,IJK,832842.1053,ITOT,36070.17544,IJJ,762947.3684,IYR,1008000,VFH,0,DON,435789.4737,IYF,85333.33333,QDF,455157.8947,IVOO,78692.2807,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM.AX,Total Shares,6.61E+07,Market Cap,4.93E+08,Percent,13.42320896,Ask,2.72,Cap,1.34E+09,SYM,SBM.AX,GDX,2.19E+07,GDXJ,4.42E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR.TO,Total Shares,1.42E+07,Market Cap,1.06E+08,Percent,13.40335616,Ask,13.77,Cap,1.46E+09,SYM,OR.TO,GDX,4722294.844,GDXJ,9488961.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR,Total Shares,1.55E+07,Market Cap,1.16E+08,Percent,13.3692294,Ask,30.41,Cap,3.52E+09,SYM,HR,VTI,205853.3377,VB,573692.8642,VNQ,4766458.402,VXF,110391.3186,IJH,2475172.641,IWM,1903387.044,MDY,1355146.333,VBK,461690.2335,IWN,964814.2059,IWV,19730.35186,IJK,933245.6429,ITOT,16902.33476,PRF,13449.52318,IYR,537948.0434,VFH,0,RWR,649128.5761,RWO,282275.5672,DON,115718.5136,IYF,49983.55804,IVOO,40081.3877,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM.TO,Total Shares,2.22E+07,Market Cap,1.66E+08,Percent,13.34037807,Ask,3.59,Cap,5.96E+08,SYM,SVM.TO,GDXJ,2.22E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG.TO,Total Shares,3.16E+07,Market Cap,2.39E+08,Percent,13.26826087,Ask,6.75,Cap,1.61E+09,SYM,CG.TO,GDX,1.22E+07,GDXJ,1.95E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKR,Total Shares,1.07E+07,Market Cap,8.08E+07,Percent,13.2585283,Ask,32.79,Cap,2.65E+09,SYM,AKR,VTI,190911.8634,VB,409271.1192,VNQ,3197804.209,VXF,68252.51601,IWM,1283806.038,IJR,2718633.73,VBK,313998.1702,IWN,516986.8862,IWV,18298.26167,IWO,126593.4736,ITOT,15675.51083,IYR,352881.9762,VFH,0,RWR,431442.513,IJT,847148.5209,RWO,191033.8518,IYF,32448.91735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY.TO,Total Shares,2.19E+07,Market Cap,1.66E+08,Percent,13.21555556,Ask,7.6,Cap,1.26E+09,SYM,GUY.TO,GDX,7995000,GDXJ,1.39E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRH,Total Shares,2.28E+07,Market Cap,1.73E+08,Percent,13.14197802,Ask,10.5,Cap,1.82E+09,SYM,DRH,VTI,0,VB,894666.6667,VNQ,7342857.143,VXF,177619.0476,IWM,2505714.286,VBR,983047.619,IJR,5595619.048,IWN,1304000,IWV,0,ITOT,0,PRF,38952.38095,IYR,722000,IJS,959142.8571,VFH,0,RWR,877333.3333,IJT,922857.1429,RWO,397714.2857,IYF,57904.7619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFS,Total Shares,8138724.818,Market Cap,6.25E+07,Percent,13.02576285,Ask,34.25,Cap,2.14E+09,SYM,UFS,VTI,182773.7226,VB,274277.3723,VXF,54452.55474,IWD,177284.6715,IJH,1267883.212,VYM,88992.70073,VBR,324554.7445,MDY,694160.5839,DVY,4018452.555,IWB,43562.0438,IWR,110802.9197,IWS,161459.854,IWV,17518.24818,ITOT,15007.29927,IJJ,383562.0438,PRF,35824.81752,FDL,43883.21168,VAW,120000,QDF,102919.708,IVOO,21352.55474,,,,,,,,,,,,,,,,,,,,,,,,,,
PVG,Total Shares,2.23E+07,Market Cap,1.72E+08,Percent,12.95755814,Ask,10.01,Cap,1.72E+09,SYM,PVG,GDXJ,2.23E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSP,Total Shares,1.39E+07,Market Cap,1.07E+08,Percent,12.91766667,Ask,11.17,Cap,1.20E+09,SYM,FSP,VTI,0,VB,480572.9633,VNQ,4141450.313,VXF,100179.051,IWM,1648791.406,VBR,497582.8111,IJR,3808952.551,IWN,875559.5345,IWV,0,ITOT,0,IJS,1435899.731,VFH,0,RWR,618531.7816,RWO,270008.9526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR.TO,Total Shares,2.00E+07,Market Cap,1.57E+08,Percent,12.77422049,Ask,2.75,Cap,4.31E+08,SYM,AR.TO,GDXJ,2.00E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
